Time;Roll;Pitch;Yaw;Depth;Voltage;HoldDepth;HoldHeading;Manual;Humidity;Temperature;CameraTilt;LightLevel;PowerLevel;WaterTemperature
16:25:16;0,87;0,62;-124,2;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:17;0,87;0,62;-124,2;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:18;0,86;0,6;-124,21;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:19;0,86;0,59;-124,18;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:20;0,85;0,6;-124,21;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:21;0,84;0,56;-124,2;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:22;0,85;0,51;-124,21;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:23;0,85;0,53;-124,23;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:24;0,86;0,58;-124,22;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:25;0,86;0,62;-124,2;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:26;0,85;0,55;-124,18;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:27;0,85;0,55;-124,18;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:28;0,84;0,58;-124,17;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:29;0,86;0,53;-124,16;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:30;0,86;0,58;-124,17;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:31;0,87;0,55;-124,22;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:32;0,86;0,51;-124,22;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:33;0,85;0,54;-124,19;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:34;0,84;0,58;-124,25;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:35;0,85;0,57;-124,35;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:36;0,85;0,6;-124,4;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:37;0,86;0,55;-124,52;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:38;0,85;0,53;-124,6;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:39;0,85;0,58;-124,61;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:40;0,86;0,59;-124,64;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:41;0,84;0,55;-124,71;-0,1;12;0;0;Manual;51;40;0;0;40;33
16:25:43;0,85;0,58;-124,76;-0,1;12;0;0;Manual;51;40;0;0;50;33
16:25:44;0,85;0,58;-124,76;-0,1;12;0;0;Manual;51;40;0;0;50;33
16:25:45;0,84;0,52;-124,91;-0,1;12;0;0;HeadingHold;51;40;0;0;50;33
16:25:46;0,84;0,54;-124,93;-0,1;12;0;HeadingHold;HeadingHold;51;40;0;0;50;33
16:25:47;0,83;0,61;-124,93;-0,1;12;0;HeadingHold;Manual;51;40;0;0;50;33
16:25:48;0,83;0,63;-124,86;-0,1;12;0;0;Manual;51;40;0;0;50;33
16:25:49;0,84;0,6;-124,83;-0,1;12;DepthHold;0;DepthHold;51;40;0;0;50;33
16:25:50;0,85;0,64;-124,82;-0,1;12;DepthHold;0;DepthHold;51;40;0;0;50;33
